ID1,Name1,Link 1,ID2,Name 2,Link 2,Checked,Duplicates
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,True,False
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,True,False
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,True,False
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,False
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,True,False
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_01727,Hochow Boarding School for Girls,https://data.chcdatabase.com/search?nodeSelect=N_01727,True,False
N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,N_01727,Hochow Boarding School for Girls,https://data.chcdatabase.com/search?nodeSelect=N_01727,True,False
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,True,False
N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,N_02005,Hung-tung Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_02005,True,False
N_00764,Chiu Tsing Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00764,N_00788,Chongying Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00788,True,False
N_00764,Chiu Tsing Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00764,N_03819,Qiujing Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03819,True,False
N_00776,Chongming Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_00776,N_00789,Chongzheng Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_00789,True,False
N_00838,Chung Te School,https://data.chcdatabase.com/search?nodeSelect=N_00838,N_04286,Shung Kei School,https://data.chcdatabase.com/search?nodeSelect=N_04286,True,False
N_01930,Huaide Girls' Normal School,https://data.chcdatabase.com/search?nodeSelect=N_01930,N_04963,The Girls' Normal School,https://data.chcdatabase.com/search?nodeSelect=N_04963,True,False
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,True,False
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,False
N_03139,Meili Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03139,N_05673,Yali Middle School,https://data.chcdatabase.com/search?nodeSelect=N_05673,True,False
N_03167,Ming Deh Girl's School,https://data.chcdatabase.com/search?nodeSelect=N_03167,N_03169,Ming Teh Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_03169,True,False
N_03169,Ming Teh Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_03169,N_05767,Yinghua Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_05767,True,False
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,False
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,True,False
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,True,False
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,False
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,True,False
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,False
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,False
N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,True,False
N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,False
N_03735,Ping-yang Boys' Day School,https://data.chcdatabase.com/search?nodeSelect=N_03735,N_03736,Ping-yang Girls' Day School,https://data.chcdatabase.com/search?nodeSelect=N_03736,True,False
N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,True,False
N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,False
N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,N_03819,Qiujing Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03819,True,False
N_03932,Shanghai Chinese and Western Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03932,N_03933,Shanghai Chinese and Western Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_03933,True,False
N_05248,Tso-un Mixed Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_05248,N_05249,Tso-un Mixed Day School #3,https://data.chcdatabase.com/search?nodeSelect=N_05249,True,False
N_04234,Shipuming Girls' School for the Blind,https://data.chcdatabase.com/search?nodeSelect=N_04234,N_05644,Xinguang Girls' School for the Blind,https://data.chcdatabase.com/search?nodeSelect=N_05644,True,False
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,True,False
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,False
N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,True,False
N_04710,Tai-ku Schools #2,https://data.chcdatabase.com/search?nodeSelect=N_04710,N_04711,Tai-ku Schools #3,https://data.chcdatabase.com/search?nodeSelect=N_04711,True,False
N_04773,Tai-yuan-fu Boy's Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_04773,N_04774,Tai-yuan-fu Boy's Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_04774,True,False
N_01049,Feng-chen Girls' Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01049,N_01061,Feng-cheng Boarding School,https://data.chcdatabase.com/search?nodeSelect=N_01061,True,True
N_01062,Feng-cheng Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_01062,N_01063,Feng-cheng Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_01063,True,True
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,True,True
N_01147,Fujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01147,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,True
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,True,True
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,True,True
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,True
N_01178,Fuxiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01178,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,True,True
N_01489,Hai-chow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01489,N_02004,Hung-tung Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_02004,True,True
N_01726,Hochow Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_01726,N_02004,Hung-tung Boarding School for Boys,https://data.chcdatabase.com/search?nodeSelect=N_02004,True,True
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,True,True
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,True,True
N_00485,Chau-ch'eng Boarding School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00485,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,True,True
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,True,True
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,True,True
N_00486,Chau-ch'eng Boarding School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00486,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,True,True
N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,True,True
N_00487,Chau-ch'eng Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_00487,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,True,True
N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,N_00489,Chau-ch'eng Day School for Boys #3,https://data.chcdatabase.com/search?nodeSelect=N_00489,True,True
N_00488,Chau-ch'eng Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_00488,N_02006,Hung-tung Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_02006,True,True
N_00788,Chongying Middle School,https://data.chcdatabase.com/search?nodeSelect=N_00788,N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,True
N_01962,Huaying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01962,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,True,True
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,True,True
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,True,True
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,True,True
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,True,True
N_01996,Hun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_01996,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,True
N_02005,Hung-tung Day School for Boys #1,https://data.chcdatabase.com/search?nodeSelect=N_02005,N_02006,Hung-tung Day School for Boys #2,https://data.chcdatabase.com/search?nodeSelect=N_02006,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_03601,Peiying Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03601,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,True
N_02173,Jinde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02173,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,True,True
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_03811,Qingxin Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03811,True,True
N_02192,Jiujiang Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_02192,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,True
N_03172,Mingde Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_03172,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,True,True
N_03592,Pei Hua Girls High School,https://data.chcdatabase.com/search?nodeSelect=N_03592,N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,True,True
N_02869,Li-Hsien Middle School,https://data.chcdatabase.com/search?nodeSelect=N_02869,N_03812,Qingxin Middle School,https://data.chcdatabase.com/search?nodeSelect=N_03812,True,True
N_05247,Tso-un Mixed Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_05247,N_05248,Tso-un Mixed Day School #2,https://data.chcdatabase.com/search?nodeSelect=N_05248,True,True
N_05247,Tso-un Mixed Day School #1,https://data.chcdatabase.com/search?nodeSelect=N_05247,N_05249,Tso-un Mixed Day School #3,https://data.chcdatabase.com/search?nodeSelect=N_05249,True,True
N_04267,Shude Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04267,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,True,True
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_05767,Yinghua Girls' School,https://data.chcdatabase.com/search?nodeSelect=N_05767,True,True
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_05781,Yixun Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05781,True,True
N_05766,Yinghua Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_05766,N_04869,Taoshu Girls' High School,https://data.chcdatabase.com/search?nodeSelect=N_04869,True,True
